cost_min,cost_max,dist_min,dist_max,alpha,k
-9.819317509103104,27.04569673273705,129420.96885382292,1425678.0462671788,0.0,1
-19.823603386253225,38.394255449254864,112439.21984833531,1072385.9063894611,0.0,2
-14.47153395344248,43.29131124904041,95064.38917072004,498114.1176078465,0.0,3
-20.3080387797781,67.35091744072088,88939.79095363691,437398.15579180385,0.0,4
-9.347086052408198,65.37068543418422,81557.85884527638,299888.7335575979,0.0,5
-9.031801228357198,75.78761584571895,64247.536150491964,285425.847649995,0.0,6
-3.164392154866853,93.88440870065135,66151.9374073126,224372.67932621078,0.0,7
-2.857875049080299,113.38995926125028,65666.22296858547,167507.81271010323,0.0,8
9.578755137619567,122.9911344806728,62479.380234600096,174515.7605996719,0.0,9
-0.872530063612615,109.28627754155805,59553.35880110773,175550.01717463316,0.0,10
4.553209782660366,113.6619561481765,54328.92013211348,172160.1153892883,0.0,11
15.52707388262966,115.61634668161658,53457.51178696725,145252.67534645673,0.0,12
16.467511825418917,123.73687664086675,55075.132389443024,173270.59411287887,0.0,13
14.830419439786196,140.00958354279882,53431.47263422042,144791.04036462476,0.0,14
33.72829197342,168.8077120623176,48013.432375206685,117729.57635216572,0.0,15
12.337807774928741,150.57011957195047,46595.32119173962,115654.47162208281,0.0,16
38.50112308850611,153.56672227781624,48236.33285149117,107971.06093285634,0.0,17
34.83240871819288,163.92061006247383,48225.91818131932,116682.55408122655,0.0,18
49.38749152082094,167.27263978040818,45369.608331337266,105156.95197468469,0.0,19
47.56580257552736,191.04642230842688,41681.09535701077,105965.66542272893,0.0,20
44.31316954185423,189.55033624789166,45396.54926789272,123067.41206060925,0.0,21
52.21715673077858,173.70638356767577,44287.619528520794,101600.5594165125,0.0,22
64.95548983148035,189.2085341552615,41974.93971160826,109899.40442796142,0.0,23
48.93450558231599,199.87394067845221,40366.42684316126,105755.52704292515,0.0,24
63.090007383340655,228.37120343204379,40311.10722905522,97387.33825708138,0.0,25
65.35126986640256,210.9386478606076,41911.346319787706,84625.48819152937,0.0,26
