Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2019,3,ARNAVUTKÖY,19631818.021
2019,4,ARNAVUTKÖY,15760580.195
2019,5,ARNAVUTKÖY,9151096.714
2019,6,ARNAVUTKÖY,6245223.884
2019,7,ARNAVUTKÖY,7820239.119
2019,8,ARNAVUTKÖY,6250101.3
2019,9,ARNAVUTKÖY,7643481.917
2019,10,ARNAVUTKÖY,9230885.805
2019,11,ARNAVUTKÖY,11465771.266
2019,12,ARNAVUTKÖY,20496594.036
2020,1,ARNAVUTKÖY,26245992.511
2020,2,ARNAVUTKÖY,22412521.068
2020,3,ARNAVUTKÖY,19875847.917
2020,4,ARNAVUTKÖY,11883806.301
2020,5,ARNAVUTKÖY,6797132.712
2020,6,ARNAVUTKÖY,7474086.773
2020,7,ARNAVUTKÖY,7211577.88
2020,8,ARNAVUTKÖY,6965803.746
2020,9,ARNAVUTKÖY,7880325.709
2020,10,ARNAVUTKÖY,8851099.939
2020,11,ARNAVUTKÖY,17997324.48
2020,12,ARNAVUTKÖY,22373209.877
2021,1,ARNAVUTKÖY,25666677.866
2021,2,ARNAVUTKÖY,24343706.749
2021,3,ARNAVUTKÖY,27803115.734
2021,4,ARNAVUTKÖY,19715293.277
2021,5,ARNAVUTKÖY,9571574.09
2021,6,ARNAVUTKÖY,9219296.167
2021,7,ARNAVUTKÖY,7303183.955
2021,8,ARNAVUTKÖY,8693148.926
2021,9,ARNAVUTKÖY,9417719.095
2021,10,ARNAVUTKÖY,13263522.314
2021,11,ARNAVUTKÖY,18693203.08
2021,12,ARNAVUTKÖY,26539274.299
2022,1,ARNAVUTKÖY,31464851.052
2022,2,ARNAVUTKÖY,27153324.988
2022,3,ARNAVUTKÖY,32833522.991
2022,4,ARNAVUTKÖY,17053012.049
2022,5,ARNAVUTKÖY,11594811.03
2022,6,ARNAVUTKÖY,9849344.575
2022,7,ARNAVUTKÖY,7376458.672
2022,8,ARNAVUTKÖY,9022383.852
2022,9,ARNAVUTKÖY,9179547.108
2022,10,ARNAVUTKÖY,11448119.719
2022,11,ARNAVUTKÖY,15372003.448
2022,12,ARNAVUTKÖY,22992984.145
2023,1,ARNAVUTKÖY,25378952.296
2023,2,ARNAVUTKÖY,27959643.872
2023,3,ARNAVUTKÖY,24048455.746
2023,4,ARNAVUTKÖY,16792197.888
2015,1,ATAŞEHİR,30998996.034
2015,2,ATAŞEHİR,26967133.33
2015,3,ATAŞEHİR,25548704.011
2015,4,ATAŞEHİR,16682891.713
2015,5,ATAŞEHİR,5416282.713
2015,6,ATAŞEHİR,4103143.453
2015,7,ATAŞEHİR,3462388.816
2015,8,ATAŞEHİR,3322695.925
2015,9,ATAŞEHİR,3642194.492
2015,10,ATAŞEHİR,7683070.427
2015,11,ATAŞEHİR,13616691.257
2015,12,ATAŞEHİR,27369814.041
2016,1,ATAŞEHİR,33107829.498
2016,2,ATAŞEHİR,22371970.036
2016,3,ATAŞEHİR,21270630.284
2016,4,ATAŞEHİR,8151172.699
2016,5,ATAŞEHİR,6190421.913
2016,6,ATAŞEHİR,4078322.843
2016,7,ATAŞEHİR,3256123.945
2016,8,ATAŞEHİR,3426477.632
2016,9,ATAŞEHİR,3737591.211
2016,10,ATAŞEHİR,8677954.23
2016,11,ATAŞEHİR,19052696.964
2016,12,ATAŞEHİR,36206305.677
2017,1,ATAŞEHİR,40876591.171
2017,2,ATAŞEHİR,30259036.315
2017,3,ATAŞEHİR,25206457.894
2017,4,ATAŞEHİR,16326721.63
2017,5,ATAŞEHİR,6916890.942
2017,6,ATAŞEHİR,4140975.418
2017,7,ATAŞEHİR,3681224.053
